CITY_NAME;CITY_ID;DISTRICT_ID
Adana;1;4
Adýyaman;2;0
Afyon;3;3
Aðrý;4;6
Amasya;5;5
Ankara;6;2
Antalya;7;4
Artvin;8;5
Aydýn;9;3
Balýkesir;10;1
Bilecik;11;1
Bingöl;12;6
Bitlis;13;6
Bolu;14;5
Burdur;15;4
Bursa;16;1
Çanakkale;17;1
Çankýrý;18;2
Çorum;19;5
Denizli;20;3
Diyarbakýr;21;0
Edirne;22;1
Elazýð;23;6
Erzincan;24;6
Erzurum;25;6
Eskiþehir;26;2
Gaziantep;27;0
Giresun;28;5
Gümüþhane;29;5
Hakkari;30;6
Hatay;31;4
Isparta;32;4
Ýçel;33;4
Ýstanbul;34;1
Ýzmir;35;3
Kars;36;6
Kastamonu;37;5
Kayseri;38;2
Kýrklareli;39;1
Kýrþehir;40;2
Kocaeli;41;1
Konya;42;2
Kütahya;43;3
Malatya;44;6
Manisa;45;3
Kahramanmaraþ;46;4
Mardin;47;0
Muðla;48;3
Muþ;49;6
Nevþehir;50;2
Niðde;51;2
Ordu;52;5
Rize;53;5
Sakarya;54;1
Samsun;55;5
Siirt;56;0
Sinop;57;5
Sivas;58;2
Tekirdað;59;1
Tokat;60;5
Trabzon;61;5
Tunceli;62;6
Þanlýurfa;63;0
Uþak;64;3
Van;65;6
Yozgat;66;2
Zonguldak;67;5
Aksaray;68;2
Bayburt;69;5
Karaman;70;2
Kýrýkkale;71;2
Batman;72;0
Þýrnak;73;6
Bartýn;74;5
Ardahan;75;6
Iðdýr;76;6
Yalova;77;1
Karabük;78;5
Kilis;79;0
Osmaniye;80;4
Düzce;81;5
